2021-03-15 13:12:04,673; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:   File "C:\Users\tmsusr\PycharmProjects\ScreenRecording\venv\lib\site-packages\kivy\base.py", line 582, in runTouchApp
2021-03-15 13:12:04,673; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:     EventLoop.mainloop()
2021-03-15 13:12:04,673; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:   File "C:\Users\tmsusr\PycharmProjects\ScreenRecording\venv\lib\site-packages\kivy\base.py", line 347, in mainloop
2021-03-15 13:12:04,673; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:     self.idle()
2021-03-15 13:12:04,674; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:   File "C:\Users\tmsusr\PycharmProjects\ScreenRecording\venv\lib\site-packages\kivy\base.py", line 387, in idle
2021-03-15 13:12:04,674; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:     Clock.tick()
2021-03-15 13:12:04,674; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:   File "C:\Users\tmsusr\PycharmProjects\ScreenRecording\venv\lib\site-packages\kivy\clock.py", line 733, in tick
2021-03-15 13:12:04,674; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:     self.post_idle(ts, self.idle())
2021-03-15 13:12:04,674; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:   File "C:\Users\tmsusr\PycharmProjects\ScreenRecording\venv\lib\site-packages\kivy\clock.py", line 776, in post_idle
2021-03-15 13:12:04,675; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:     self._process_events()
2021-03-15 13:12:04,675; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:   File "C:\Users\tmsusr\PycharmProjects\ScreenRecording\startupscreen.py", line 24, in <lambda>
2021-03-15 13:12:04,675; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:     Clock.schedule_once(lambda dt: self.load_navigation(), 2)
2021-03-15 13:12:04,675; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:   File "C:\Users\tmsusr\PycharmProjects\ScreenRecording\startupscreen.py", line 45, in load_navigation
2021-03-15 13:12:04,675; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:     app.screens.primary_widget = NavigationScreen()
2021-03-15 13:12:04,676; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:   File "C:\Users\tmsusr\PycharmProjects\ScreenRecording\navigation.py", line 13, in __init__
2021-03-15 13:12:04,676; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:     applogger().logger.info("User Data Directory: ",f_path)
2021-03-15 13:12:04,676; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr: Message: 'User Data Directory: '
2021-03-15 13:12:04,676; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr: Arguments: ('C:\\Users\\tmsusr\\AppData\\Roaming\\appwin',)
2021-03-15 13:12:05,869; INFO    ; [10092 - MainProcess - 10980]; kivy                               ; <module>            ;   35: VideoGstplayer: Using Gstreamer 1.18.0.0
2021-03-15 13:12:05,869; INFO    ; [10092 - MainProcess - 10980]; kivy                               ; core_select_lib     ;   68: Video: Provider: gstplayer
2021-03-15 13:12:07,325; ERROR   ; [10092 - MainProcess - 10980]; kivy                               ; texture_update      ;  273: Image: Error loading <C:\Users\tmsusr\PycharmProjects\ScreenRecording\static\Recording.avi>
2021-03-15 13:12:13,782; INFO    ; [10092 - MainProcess - 10980]; kivy                               ; stopTouchApp        ;  624: Base: Leaving application in progress...
2021-03-15 13:15:47,276; WARNING ; [4660 - MainProcess - 6292]; kivy                               ; write               ;  335: stderr: --- Logging error ---
2021-03-15 13:15:47,278; WARNING ; [4660 - MainProcess - 6292]; kivy                               ; write               ;  335: stderr: Traceback (most recent call last):
2021-03-15 13:15:47,278; WARNING ; [4660 - MainProcess - 6292]; kivy                               ; write               ;  335: stderr:   File "C:\Program Files\Python\Version37\lib\logging\__init__.py", line 1025, in emit
2021-03-15 13:15:47,278; WARNING ; [4660 - MainProcess - 6292]; kivy                               ; write               ;  335: stderr:     msg = self.format(record)
